Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33,Yes,Travel_Frequently,410,Human Resources,18,2,Life Sciences,1,36,4,Male,84,3,3,Manager,4,Divorced,10330,18784,5,Y,No,16,3,1,80,0,10,1,3,0,0,0,0
41,No,Travel_Rarely,201,Sales,3,2,Life Sciences,1,37,4,Female,71,3,2,Manager,4,Married,5512,11225,1,Y,No,17,3,2,80,2,19,6,3,5,1,0,2
22,Yes,Travel_Rarely,1073,Research & Development,11,2,Life Sciences,1,38,4,Female,30,3,1,Research Director,3,Married,4613,12646,2,Y,Yes,11,3,2,80,0,2,1,2,1,0,0,0
44,No,Travel_Rarely,1133,Sales,7,3,Medical,1,39,2,Male,30,1,5,Sales Executive,3,Divorced,15460,11300,4,Y,Yes,11,3,1,80,1,24,3,2,0,0,0,0
39,No,Travel_Rarely,498,Research & Development,14,3,Technical Degree,1,40,4,Female,52,3,2,Research Director,1,Divorced,7295,19866,3,Y,No,15,3,4,80,0,17,5,4,17,9,0,8
25,No,Travel_Frequently,500,Sales,15,1,Medical,1,41,4,Male,54,3,3,Sales Representative,3,Divorced,6770,11000,3,Y,Yes,20,3,4,80,1,5,3,3,3,1,0,2
39,No,Travel_Rarely,827,Sales,9,4,Life Sciences,1,42,2,Female,38,2,2,Sales Executive,4,Married,5319,21575,3,Y,No,16,3,1,80,1,16,4,3,1,0,0,0
25,Yes,Travel_Rarely,1405,Research & Development,2,1,Life Sciences,1,43,4,Male,89,3,4,Laboratory Technician,2,Married,9736,20827,1,Y,Yes,13,3,1,80,1,4,3,3,4,3,0,2
30,No,Travel_Frequently,554,Research & Development,7,3,Other,1,44,3,Male,60,3,2,Laboratory Technician,4,Married,7275,5468,3,Y,No,11,3,2,80,0,7,0,2,5,3,1,2
51,No,Travel_Rarely,412,Research & Development,7,4,Medical,1,45,1,Female,35,3,5,Manager,3,Single,14443,19920,2,Y,Yes,11,3,4,80,0,28,1,2,18,5,7,15
23,No,Travel_Rarely,638,Research & Development,29,1,Life Sciences,1,46,3,Male,97,3,3,Healthcare Representative,1,Single,8491,9434,3,Y,No,17,3,2,80,1,2,4,2,2,1,1,1
43,No,Travel_Frequently,921,Human Resources,29,2,Human Resources,1,47,1,Female,65,1,1,Manager,3,Married,4876,14505,1,Y,No,16,3,3,80,0,21,1,4,4,3,0,1
31,No,Travel_Frequently,725,Research & Development,1,2,Other,1,48,2,Male,81,2,3,Research Director,1,Married,8583,21971,0,Y,No,14,3,3,80,1,9,5,3,2,1,0,1
39,No,Non-Travel,467,Research & Development,5,3,Life Sciences,1,49,4,Female,40,3,3,Research Scientist,3,Married,8852,6625,2,Y,No,15,3,1,80,0,19,1,3,9,2,4,5
32,No,Travel_Rarely,1351,Research & Development,2,3,Technical Degree,1,50,4,Female,40,1,2,Healthcare Representative,2,Married,7443,18999,1,Y,No,15,3,2,80,1,11,3,3,8,2,2,2
44,No,Travel_Rarely,522,Research & Development,2,3,Life Sciences,1,51,4,Male,90,3,2,Research Scientist,2,Divorced,5573,3470,6,Y,No,14,3,4,80,1,21,3,3,1,0,0,0
36,No,Travel_Rarely,1336,Sales,9,3,Medical,1,52,2,Female,87,3,5,Manager,3,Divorced,12780,4273,5,Y,No,12,3,3,80,1,15,0,3,4,3,1,3
32,Yes,Travel_Rarely,284,Research & Development,6,2,Other,1,53,3,Male,84,1,2,Laboratory Technician,3,Married,6178,12814,4,Y,Yes,14,3,3,80,1,10,2,3,0,0,0,0
32,No,Travel_Frequently,1420,Sales,21,1,Other,1,54,4,Female,64,3,5,Manager,1,Married,13283,4933,1,Y,No,11,3,3,80,1,9,3,3,0,0,0,0
28,No,Travel_Rarely,593,Research & Development,1,3,Medical,1,55,2,Male,43,3,4,Manager,4,Divorced,10721,7526,1,Y,No,14,3,2,80,0,5,3,3,0,0,0,0
37,No,Travel_Rarely,199,Human Resources,10,3,Other,1,56,3,Female,45,2,3,Human Resources,4,Divorced,8765,14816,1,Y,Yes,13,3,4,80,1,15,1,3,15,10,3,5
37,Yes,Travel_Rarely,408,Research & Development,29,4,Other,1,57,4,Female,40,2,3,Manager,4,Married,9310,4645,1,Y,Yes,15,3,3,80,1,17,1,3,0,0,0,0
44,No,Travel_Rarely,771,Sales,1,5,Other,1,58,4,Female,42,4,2,Sales Executive,4,Married,8644,25807,3,Y,No,17,3,1,80,2,24,2,2,2,1,0,0
40,No,Travel_Rarely,1054,Research & Development,5,4,Technical Degree,1,59,4,Male,52,3,1,Manufacturing Director,4,Married,4234,13533,3,Y,Yes,17,3,2,80,0,17,2,3,6,5,0,4
41,No,Travel_Rarely,713,Research & Development,2,3,Technical Degree,1,60,2,Male,91,3,3,Healthcare Representative,4,Married,9944,16064,1,Y,Yes,14,3,3,80,2,21,6,3,5,2,2,1
33,No,Travel_Rarely,169,Sales,16,1,Marketing,1,61,4,Male,37,3,2,Sales Executive,4,Married,6709,16943,2,Y,Yes,14,3,2,80,0,13,1,3,1,0,0,0
34,No,Travel_Frequently,921,Research & Development,1,2,Other,1,62,2,Male,51,3,2,Research Scientist,2,Single,7178,16661,1,Y,No,19,3,3,80,1,14,1,3,9,4,2,4
49,No,Travel_Rarely,1315,Research & Development,3,1,Life Sciences,1,63,3,Male,37,1,1,Research Scientist,4,Single,6738,6744,1,Y,No,11,3,2,80,1,26,1,3,2,1,0,1
36,Yes,Travel_Frequently,1106,Sales,1,1,Marketing,1,64,4,Male,76,3,2,Manager,3,Married,6152,2820,2,Y,No,15,4,4,80,2,15,4,3,1,0,0,0
46,No,Travel_Rarely,1338,Research & Development,1,1,Medical,1,65,3,Male,91,3,2,Laboratory Technician,4,Married,8293,14430,5,Y,No,11,3,3,80,0,24,1,3,2,1,0,0
37,No,Travel_Rarely,1108,Research & Development,3,1,Medical,1,66,4,Male,40,3,5,Research Scientist,1,Married,15701,13214,2,Y,No,11,4,1,80,1,17,1,1,9,6,1,5
54,No,Travel_Frequently,775,Research & Development,5,3,Other,1,67,3,Female,82,2,2,Laboratory Technician,4,Divorced,7974,7592,2,Y,Yes,15,3,1,80,0,31,4,3,18,12,1,6
29,No,Travel_Rarely,1265,Research & Development,16,3,Other,1,68,3,Female,50,3,2,Laboratory Technician,3,Divorced,7275,14115,3,Y,Yes,11,3,4,80,1,9,1,3,2,0,1,1
42,Yes,Non-Travel,1239,Sales,3,3,Other,1,69,3,Female,51,3,3,Sales Executive,3,Single,9177,5514,5,Y,No,11,3,4,80,0,19,3,3,0,0,0,0
29,No,Non-Travel,1415,Research & Development,11,4,Medical,1,70,4,Male,74,3,4,Laboratory Technician,1,Single,11487,20608,5,Y,No,16,3,1,80,0,7,1,3,1,0,0,0
32,No,Travel_Rarely,877,Sales,2,2,Medical,1,71,3,Male,41,2,2,Sales Executive,4,Married,7155,8140,5,Y,No,11,3,3,80,1,11,5,3,2,1,0,0
44,No,Travel_Rarely,276,Sales,21,3,Medical,1,72,3,Female,52,4,1,Sales Representative,3,Divorced,5914,22274,2,Y,No,20,3,1,80,0,21,6,3,2,0,0,1
27,Yes,Travel_Frequently,1190,Research & Development,1,3,Other,1,73,3,Male,50,3,1,Research Scientist,4,Married,4802,13609,3,Y,No,17,3,4,80,0,5,6,2,5,4,0,3
35,Yes,Travel_Rarely,134,Research & Development,26,2,Medical,1,74,3,Male,84,1,3,Research Scientist,3,Single,8854,6119,4,Y,No,11,3,3,80,1,14,3,3,0,0,0,0
53,No,Travel_Rarely,592,Research & Development,25,3,Other,1,75,3,Female,94,3,5,Healthcare Representative,2,Married,15607,3166,5,Y,Yes,16,3,1,80,1,30,2,3,3,1,0,1
28,No,Travel_Frequently,373,Research & Development,2,2,Other,1,76,2,Female,97,3,2,Manager,3,Divorced,5249,21221,4,Y,No,14,3,1,80,0,7,2,3,0,0,0,0
44,No,Travel_Rarely,1298,Human Resources,5,1,Other,1,77,3,Male,39,3,2,Human Resources,4,Married,7597,4881,4,Y,No,11,3,1,80,0,23,3,4,19,8,9,17
42,Yes,Travel_Rarely,689,Research & Development,15,3,Medical,1,78,4,Female,55,3,2,Manufacturing Director,3,Married,7503,12736,3,Y,Yes,12,3,3,80,1,22,4,3,3,2,0,0
49,No,Travel_Rarely,443,Research & Development,14,2,Other,1,79,4,Male,76,3,4,Laboratory Technician,1,Single,11858,12273,4,Y,Yes,17,4,4,80,0,26,3,3,1,0,0,0
18,Yes,Travel_Rarely,1319,Sales,1,3,Other,1,80,1,Male,44,3,4,Manager,3,Divorced,8760,9357,2,Y,No,13,3,4,80,1,0,5,3,1,0,0,0
33,Yes,Travel_Rarely,384,Research & Development,3,3,Technical Degree,1,81,4,Female,35,4,1,Laboratory Technician,4,Single,5418,3093,3,Y,No,11,3,3,80,1,13,0,3,1,0,0,0
33,No,Travel_Rarely,1194,Research & Development,2,4,Technical Degree,1,82,4,Female,88,4,2,Manufacturing Director,2,Married,6685,21582,1,Y,Yes,19,3,3,80,0,12,0,3,8,6,3,4
33,No,Travel_Rarely,320,Research & Development,1,3,Medical,1,83,4,Female,58,3,5,Manufacturing Director,4,Single,13133,3612,3,Y,No,16,3,4,80,1,12,3,1,7,5,2,6
59,No,Travel_Frequently,1198,Sales,7,2,Other,1,84,1,Male,75,2,4,Sales Representative,2,Divorced,14190,14999,2,Y,No,21,3,3,80,1,38,3,2,6,3,2,3
52,No,Travel_Rarely,1429,Sales,1,1,Marketing,1,85,3,Female,39,2,3,Sales Representative,3,Married,10667,3455,3,Y,Yes,11,3,4,80,0,32,1,3,2,0,0,1
29,Yes,Travel_Rarely,976,Research & Development,1,3,Technical Degree,1,86,2,Male,83,3,2,Manufacturing Director,4,Married,5965,10097,6,Y,Yes,20,3,4,80,1,8,2,3,3,1,1,1
36,No,Travel_Rarely,731,Sales,5,2,Life Sciences,1,87,1,Male,34,2,2,Manager,3,Married,6901,2180,3,Y,No,17,3,2,80,2,16,5,2,0,0,0,0
37,No,Travel_Rarely,464,Research & Development,4,4,Medical,1,88,4,Male,38,3,3,Manufacturing Director,3,Married,10765,17628,3,Y,No,13,3,2,80,0,17,2,2,2,1,0,1
50,No,Travel_Rarely,1218,Research & Development,3,3,Medical,1,89,2,Male,70,3,2,Manufacturing Director,1,Married,7834,12832,3,Y,No,24,3,2,80,1,30,0,2,10,7,3,3
26,No,Travel_Rarely,1360,Sales,13,1,Life Sciences,1,90,1,Female,31,1,4,Manager,4,Married,10111,11371,4,Y,No,18,3,2,80,0,4,2,3,0,0,0,0
39,No,Travel_Rarely,1165,Research & Development,8,3,Medical,1,91,1,Female,88,3,1,Healthcare Representative,4,Married,6201,12719,2,Y,No,15,3,2,80,1,16,3,2,2,1,0,1
47,No,Travel_Rarely,929,Research & Development,4,4,Technical Degree,1,92,4,Male,75,3,2,Healthcare Representative,3,Divorced,9336,2783,3,Y,No,11,3,4,80,0,26,6,2,0,0,0,0
52,No,Travel_Rarely,563,Research & Development,2,1,Technical Degree,1,93,4,Female,53,3,3,Manager,2,Single,10503,10399,0,Y,No,14,3,4,80,1,29,1,3,1,0,0,0
35,No,Travel_Rarely,1468,Sales,6,2,Medical,1,94,3,Male,70,3,2,Manager,2,Divorced,8361,2664,6,Y,No,13,3,2,80,1,13,0,4,4,3,1,2
40,No,Travel_Rarely,1077,Research & Development,9,3,Medical,1,95,1,Male,74,3,2,Laboratory Technician,3,Married,6210,3356,7,Y,Yes,13,4,3,80,0,17,2,2,0,0,0,0
38,No,Travel_Rarely,1421,Research & Development,3,5,Technical Degree,1,96,4,Female,85,3,2,Research Scientist,4,Married,7055,4036,1,Y,Yes,13,3,1,80,0,18,2,3,4,3,1,3
24,No,Travel_Rarely,1496,Research & Development,6,3,Medical,1,97,2,Male,69,3,3,Research Director,3,Married,6720,10174,2,Y,Yes,11,3,1,80,2,1,2,3,0,0,0,0
33,No,Travel_Rarely,1362,Research & Development,1,2,Life Sciences,1,98,2,Male,51,3,3,Research Director,3,Single,8587,8949,3,Y,No,18,3,1,80,0,13,3,3,3,2,0,1
34,No,Travel_Rarely,1127,Research & Development,4,2,Medical,1,99,4,Male,46,3,5,Manager,4,Married,13945,21835,1,Y,Yes,11,4,1,80,0,12,2,3,1,0,0,0
30,No,Travel_Rarely,517,Research & Development,12,3,Medical,1,100,2,Male,69,3,3,Research Director,3,Married,10080,11877,2,Y,Yes,14,3,4,80,1,10,4,3,0,0,0,0
37,Yes,Travel_Frequently,561,Sales,5,3,Marketing,1,101,2,Male,33,3,3,Sales Executive,3,Divorced,10496,22483,3,Y,No,12,3,3,80,0,17,3,2,2,1,0,1
44,No,Travel_Rarely,985,Sales,4,3,Other,1,102,1,Female,67,2,4,Manager,4,Single,12668,7978,5,Y,No,15,3,3,80,0,21,1,1,3,2,1,2
47,No,Travel_Rarely,992,Sales,14,2,Life Sciences,1,103,4,Male,92,2,3,Manager,3,Single,11599,25514,2,Y,No,15,3,1,80,1,24,1,3,6,4,3,5
30,No,Travel_Rarely,370,Human Resources,1,4,Other,1,104,4,Male,60,3,4,Human Resources,4,Married,9661,11554,0,Y,No,15,3,4,80,2,7,3,2,0,0,0,0
35,No,Travel_Rarely,288,Sales,1,2,Life Sciences,1,105,1,Male,45,3,4,Sales Executive,3,Married,10487,15793,3,Y,Yes,13,3,3,80,0,13,3,3,5,4,1,4
29,No,Travel_Rarely,1327,Sales,12,2,Life Sciences,1,106,2,Male,35,2,2,Sales Executive,2,Married,6094,4765,4,Y,No,12,3,1,80,1,6,2,2,6,2,1,5
46,No,Travel_Rarely,1439,Research & Development,8,1,Technical Degree,1,107,2,Female,70,1,2,Laboratory Technician,4,Divorced,8736,3142,3,Y,No,11,3,3,80,0,24,2,4,2,1,0,1
48,No,Travel_Rarely,242,Research & Development,9,1,Medical,1,108,4,Male,72,2,2,Laboratory Technician,4,Single,7977,2110,2,Y,No,14,3,2,80,1,28,1,3,14,7,2,6
24,Yes,Travel_Rarely,1033,Research & Development,1,4,Life Sciences,1,109,1,Male,48,3,2,Healthcare Representative,3,Divorced,6551,15955,1,Y,No,14,3,4,80,1,2,3,3,0,0,0,0
33,Yes,Travel_Rarely,1009,Research & Development,8,3,Other,1,110,1,Male,94,3,4,Research Scientist,1,Married,11030,6748,5,Y,No,13,3,3,80,0,12,2,3,3,1,0,2
45,No,Travel_Rarely,679,Research & Development,8,3,Medical,1,111,3,Female,94,2,3,Laboratory Technician,1,Divorced,10366,15840,2,Y,Yes,11,3,3,80,0,24,2,4,7,2,0,3
52,No,Travel_Rarely,1462,Sales,10,3,Life Sciences,1,112,4,Male,43,3,3,Manager,4,Single,11504,20842,6,Y,Yes,15,3,4,80,2,29,2,2,4,1,0,2
36,Yes,Travel_Frequently,712,Sales,5,4,Marketing,1,113,3,Male,49,4,4,Sales Executive,1,Married,8480,20059,1,Y,Yes,14,3,3,80,0,15,3,3,0,0,0,0
31,No,Travel_Rarely,1145,Research & Development,1,3,Technical Degree,1,114,4,Male,85,3,3,Research Director,4,Married,10078,22784,0,Y,No,17,4,3,80,0,8,4,3,1,0,0,0
40,No,Travel_Rarely,1340,Human Resources,9,3,Other,1,115,2,Female,74,3,3,Human Resources,4,Married,9168,11076,3,Y,No,17,3,1,80,0,17,1,3,1,0,0,0
46,Yes,Travel_Rarely,1031,Research & Development,8,3,Medical,1,116,3,Male,33,3,3,Research Scientist,4,Single,9012,19121,0,Y,Yes,11,3,3,80,1,25,5,3,0,0,0,0
45,No,Travel_Rarely,120,Sales,3,4,Medical,1,117,4,Male,47,3,4,Sales Executive,3,Married,12299,12940,2,Y,No,17,4,3,80,0,23,4,3,5,3,0,2
27,No,Travel_Rarely,325,Sales,3,3,Marketing,1,118,3,Male,80,3,2,Sales Representative,3,Divorced,5532,11940,2,Y,No,13,3,4,80,1,6,6,1,0,0,0,0
41,No,Travel_Frequently,214,Sales,3,1,Other,1,119,1,Male,73,3,3,Sales Representative,2,Single,10107,4407,2,Y,Yes,20,3,3,80,2,20,1,3,0,0,0,0
54,Yes,Travel_Rarely,1394,Research & Development,4,3,Life Sciences,1,120,3,Female,98,3,5,Research Scientist,1,Single,15960,17990,0,Y,Yes,11,4,3,80,0,32,1,3,22,17,12,8
28,No,Travel_Rarely,520,Research & Development,1,2,Medical,1,121,2,Male,89,3,3,Laboratory Technician,4,Divorced,8530,10970,4,Y,No,12,3,4,80,0,6,3,3,2,1,1,0
40,No,Travel_Rarely,129,Sales,2,1,Life Sciences,1,122,2,Male,70,1,5,Manager,2,Divorced,12609,20463,1,Y,No,12,3,4,80,1,17,4,2,6,4,2,5
45,No,Travel_Rarely,146,Sales,2,3,Medical,1,123,2,Female,35,2,1,Sales Representative,4,Married,4742,4162,1,Y,Yes,11,3,3,80,0,24,4,2,0,0,0,0
29,No,Travel_Frequently,174,Research & Development,2,2,Technical Degree,1,124,3,Male,81,4,5,Manufacturing Director,3,Married,12913,2292,1,Y,No,18,3,4,80,0,9,2,4,8,2,3,6
23,Yes,Travel_Frequently,212,Research & Development,8,1,Technical Degree,1,125,2,Male,80,2,2,Research Director,3,Married,4435,22133,3,Y,No,16,3,3,80,2,1,3,3,1,0,0,0
39,Yes,Travel_Frequently,565,Research & Development,24,3,Medical,1,126,2,Male,73,3,5,Manufacturing Director,1,Single,15818,5252,5,Y,No,15,3,1,80,1,18,3,3,5,4,2,2
42,No,Travel_Rarely,647,Research & Development,2,2,Life Sciences,1,127,1,Female,91,2,4,Research Director,4,Divorced,10944,6268,1,Y,No,18,4,3,80,0,19,3,3,13,12,3,8
40,No,Travel_Rarely,713,Research & Development,1,1,Medical,1,128,4,Male,93,3,4,Laboratory Technician,3,Divorced,11790,26371,1,Y,No,18,3,3,80,0,19,5,3,0,0,0,0
38,No,Travel_Rarely,153,Sales,2,4,Medical,1,129,4,Male,58,2,3,Sales Representative,4,Divorced,8890,21442,1,Y,Yes,13,3,4,80,1,15,6,2,1,0,0,0
37,Yes,Non-Travel,998,Research & Development,13,2,Medical,1,130,2,Female,50,3,3,Healthcare Representative,1,Single,7854,16354,6,Y,No,15,3,4,80,0,14,5,3,0,0,0,0
34,No,Travel_Frequently,722,Research & Development,2,1,Other,1,131,3,Female,84,3,3,Manager,3,Married,8663,7432,4,Y,No,11,3,1,80,0,12,1,2,10,4,1,5
20,Yes,Travel_Rarely,215,Sales,13,3,Life Sciences,1,132,4,Male,42,3,1,Manager,3,Married,4691,17724,7,Y,No,19,3,4,80,1,0,6,3,1,0,0,0
41,Yes,Travel_Rarely,208,Research & Development,1,3,Life Sciences,1,133,3,Female,38,2,2,Laboratory Technician,1,Married,8126,13562,5,Y,No,14,3,4,80,0,21,2,2,0,0,0,0
42,No,Travel_Rarely,1196,Research & Development,12,3,Technical Degree,1,134,4,Male,72,3,4,Research Director,2,Married,10080,21191,3,Y,No,16,3,4,80,0,19,2,3,4,3,0,3
23,No,Travel_Rarely,1196,Sales,3,2,Marketing,1,135,3,Female,77,1,5,Sales Representative,3,Married,12117,17472,1,Y,No,15,3,2,80,1,0,6,1,1,0,0,0
43,No,Travel_Rarely,1039,Research & Development,2,1,Life Sciences,1,136,4,Female,42,3,3,Manufacturing Director,4,Married,9211,7298,2,Y,No,12,3,4,80,2,20,1,3,8,6,3,3
37,Yes,Travel_Rarely,1176,Human Resources,3,1,Other,1,137,4,Female,67,2,2,Human Resources,1,Single,7061,11205,4,Y,Yes,18,4,4,80,2,15,2,3,3,0,0,1
28,No,Travel_Rarely,983,Research & Development,1,3,Other,1,138,4,Male,47,3,2,Research Director,3,Single,5700,10027,0,Y,Yes,17,3,1,80,1,6,2,2,3,1,0,1
38,No,Travel_Frequently,1313,Sales,7,3,Life Sciences,1,139,4,Male,61,3,3,Sales Executive,2,Single,10284,13116,2,Y,No,19,3,4,80,0,17,3,1,4,2,1,3
22,Yes,Non-Travel,385,Research & Development,4,3,Other,1,140,2,Male,85,4,2,Laboratory Technician,2,Married,6508,18576,3,Y,Yes,11,3,4,80,0,1,6,3,1,0,0,0
38,Yes,Travel_Rarely,1380,Research & Development,24,3,Technical Degree,1,141,2,Female,74,2,3,Research Director,2,Single,9795,5501,1,Y,Yes,20,3,2,80,2,18,2,3,1,0,0,0
